NAME,RUN,MEMBER,PERC,GAP_SIZE,CORR,RMSE,STDR
era5,1,25,5,24,0.9986,0.3887,1.0
era5,1,25,5,48,0.998,0.4587,1.0
era5,1,25,5,72,0.9978,0.4809,1.0
era5,1,25,5,96,0.9967,0.5858,1.0
era5,1,25,10,24,0.9964,0.613,1.0
era5,1,25,10,48,0.9968,0.5846,1.0
era5,1,25,10,72,0.9932,0.8478,1.0
era5,1,25,10,96,0.9944,0.7671,1.0
era5,1,25,15,24,0.9951,0.7185,1.0
era5,1,25,15,48,0.9937,0.8134,1.0
era5,1,25,15,72,0.9921,0.9098,1.0
era5,1,25,15,96,0.9886,1.0966,1.0001
era5,1,25,20,24,0.9932,0.8472,1.0
era5,1,25,20,48,0.9915,0.9482,1.0
era5,1,25,20,72,0.9879,1.1251,1.0
era5,1,25,20,96,0.9871,1.1627,1.0001
era5,2,25,5,24,0.9987,0.3631,1.0
era5,2,25,5,48,0.9985,0.398,1.0
era5,2,25,5,72,0.9978,0.4786,1.0
era5,2,25,5,96,0.9978,0.4835,1.0
era5,2,25,10,24,0.9969,0.5717,1.0
era5,2,25,10,48,0.9964,0.6148,1.0
era5,2,25,10,72,0.9945,0.7608,1.0
era5,2,25,10,96,0.9949,0.7337,1.0
era5,2,25,15,24,0.9953,0.7012,1.0
era5,2,25,15,48,0.9931,0.8499,1.0
era5,2,25,15,72,0.9907,0.9897,1.0
era5,2,25,15,96,0.9903,1.0067,1.0
era5,2,25,20,24,0.9933,0.839,1.0
era5,2,25,20,48,0.9899,1.0299,1.0
era5,2,25,20,72,0.9888,1.0865,1.0001
era5,2,25,20,96,0.9861,1.2068,1.0
era5,3,25,5,24,0.9987,0.3734,1.0
era5,3,25,5,48,0.9981,0.4457,1.0
era5,3,25,5,72,0.9969,0.5721,1.0
era5,3,25,5,96,0.9981,0.4459,1.0
era5,3,25,10,24,0.9968,0.5842,1.0
era5,3,25,10,48,0.9945,0.7603,1.0
era5,3,25,10,72,0.9942,0.7824,1.0001
era5,3,25,10,96,0.9937,0.816,1.0
era5,3,25,15,24,0.995,0.7223,1.0
era5,3,25,15,48,0.9929,0.8627,1.0
era5,3,25,15,72,0.9913,0.9546,1.0
era5,3,25,15,96,0.9898,1.0355,1.0
era5,3,25,20,24,0.9933,0.8412,1.0
era5,3,25,20,48,0.9898,1.0336,1.0
era5,3,25,20,72,0.987,1.1669,1.0001
era5,3,25,20,96,0.985,1.2578,1.0
era5,4,25,5,24,0.9986,0.3871,1.0
era5,4,25,5,48,0.9979,0.4672,1.0
era5,4,25,5,72,0.9978,0.4762,1.0
era5,4,25,5,96,0.9962,0.6292,1.0
era5,4,25,10,24,0.9971,0.5577,1.0
era5,4,25,10,48,0.9961,0.6401,1.0
era5,4,25,10,72,0.9953,0.7044,1.0
era5,4,25,10,96,0.9949,0.7355,1.0
era5,4,25,15,24,0.9956,0.6788,1.0
era5,4,25,15,48,0.9935,0.8279,1.0
era5,4,25,15,72,0.9897,1.0414,1.0
era5,4,25,15,96,0.9912,0.9602,1.0001
era5,4,25,20,24,0.9944,0.77,1.0
era5,4,25,20,48,0.9926,0.8835,1.0
era5,4,25,20,72,0.9868,1.1748,1.0
era5,4,25,20,96,0.988,1.1255,1.0001
era5,5,25,5,24,0.9984,0.4158,1.0
era5,5,25,5,48,0.9972,0.5426,1.0
era5,5,25,5,72,0.9968,0.5847,1.0
era5,5,25,5,96,0.996,0.6491,1.0
era5,5,25,10,24,0.9976,0.4998,1.0
era5,5,25,10,48,0.996,0.6452,1.0
era5,5,25,10,72,0.9963,0.6214,1.0
era5,5,25,10,96,0.9943,0.7709,1.0
era5,5,25,15,24,0.9948,0.7413,1.0
era5,5,25,15,48,0.9936,0.8191,1.0
era5,5,25,15,72,0.9909,0.9765,1.0
era5,5,25,15,96,0.9914,0.9517,1.0001
era5,5,25,20,24,0.9931,0.8511,1.0
era5,5,25,20,48,0.9903,1.011,1.0
era5,5,25,20,72,0.9878,1.1324,1.0001
era5,5,25,20,96,0.9867,1.1809,1.0
