NAME,RUN,MEMBER,PERC,GAP_SIZE,CORR,RMSE,STDR
era5,1,25,5,24,0.9893,0.0328,-509601.3787
era5,1,25,5,48,0.9918,0.0286,1794950.905
era5,1,25,5,72,0.9913,0.0296,-371176.1632
era5,1,25,5,96,0.9856,0.0381,-5203808.2781
era5,1,25,10,24,0.9824,0.0422,10116411.7335
era5,1,25,10,48,0.9899,0.0318,-7417832.1967
era5,1,25,10,72,0.9842,0.0397,6865605.1392
era5,1,25,10,96,0.9913,0.0294,9944005.6957
era5,1,25,15,24,0.9729,0.0526,9022222.7941
era5,1,25,15,48,0.9696,0.0611,-12815479.5703
era5,1,25,15,72,0.979,0.0462,-2404755.9161
era5,1,25,15,96,0.9862,0.0372,-18294512.2673
era5,1,25,20,24,0.3246,0.2121,-13177346.7989
era5,1,25,20,48,0.3327,0.2115,5593080.9576
era5,1,25,20,72,0.3502,0.2089,7906965.1028
era5,1,25,20,96,0.2337,0.2312,28716023.6418
era5,2,25,5,24,0.9946,0.0232,-998807.6145
era5,2,25,5,48,0.9878,0.035,-1647191.3732
era5,2,25,5,72,0.9918,0.0286,1433495.787
era5,2,25,5,96,0.9576,0.0698,10469235.7701
era5,2,25,10,24,0.977,0.0541,-22195765.2639
era5,2,25,10,48,0.9896,0.0321,11508635.5603
era5,2,25,10,72,0.9935,0.0254,3072358.0177
era5,2,25,10,96,0.9713,0.0597,1845631.4538
era5,2,25,15,24,0.9544,0.0677,-13885195.07
era5,2,25,15,48,0.9815,0.0432,-6696158.8113
era5,2,25,15,72,0.875,0.1385,-1367377.7323
era5,2,25,15,96,0.3245,0.2122,4282040.2778
era5,2,25,20,24,0.9652,0.0594,8217015.3503
era5,2,25,20,48,0.9662,0.0577,24299150.4038
era5,2,25,20,72,0.9181,0.0951,-11528677.309
era5,2,25,20,96,0.8828,0.1147,2373508.2308
era5,3,25,5,24,0.9896,0.0323,738197.5532
era5,3,25,5,48,0.9873,0.0358,-21505398.4605
era5,3,25,5,72,0.9862,0.0374,1084444.941
era5,3,25,5,96,0.9912,0.0298,-8754935.4736
era5,3,25,10,24,0.3377,0.2107,2087353.2894
era5,3,25,10,48,0.9921,0.028,7905910.7787
era5,3,25,10,72,0.3244,0.2123,36934921.944
era5,3,25,10,96,0.9782,0.0534,6320009.1667
era5,3,25,15,24,0.9719,0.0535,-5407984.2553
era5,3,25,15,48,0.9734,0.0576,105866591.121
era5,3,25,15,72,0.9503,0.0748,4546680.5208
era5,3,25,15,96,0.9707,0.0537,26087525.0821
era5,3,25,20,24,0.9647,0.065,-10881272.7334
era5,3,25,20,48,0.3477,0.209,4037974.4037
era5,3,25,20,72,0.9801,0.0447,-16856912.4376
era5,3,25,20,96,0.3182,0.212,16600055.7005
era5,4,25,5,24,0.3538,0.2089,-7318716.4456
era5,4,25,5,48,0.3111,0.212,4008555.1503
era5,4,25,5,72,0.9718,0.0526,-6574987.2375
era5,4,25,5,96,0.2905,0.2143,-75432357.5474
era5,4,25,10,24,0.9682,0.0561,-12610223.2713
era5,4,25,10,48,0.9856,0.0379,18631541.2528
era5,4,25,10,72,0.982,0.0425,4040429.1472
era5,4,25,10,96,0.9688,0.062,2693517.0707
era5,4,25,15,24,0.9526,0.073,-5761758.7383
era5,4,25,15,48,0.9654,0.0691,-114872117.2062
era5,4,25,15,72,0.963,0.0605,-7114413.2429
era5,4,25,15,96,0.3196,0.2129,-6430790.5269
era5,4,25,20,24,0.9601,0.0688,1916907.653
era5,4,25,20,48,0.9563,0.0755,-15159972.7369
era5,4,25,20,72,0.9633,0.0706,2002408.1917
era5,4,25,20,96,0.9595,0.0633,9905421.1945
era5,5,25,5,24,0.9833,0.0411,2091279.6871
era5,5,25,5,48,0.9921,0.0281,476656.5976
era5,5,25,5,72,0.9897,0.0321,-850607.464
era5,5,25,5,96,0.9826,0.0421,1186179.2519
era5,5,25,10,24,0.3304,0.2116,-6967612.1859
era5,5,25,10,48,0.9837,0.0405,-3661832.6244
era5,5,25,10,72,0.97,0.0606,8901069.8433
era5,5,25,10,96,0.9904,0.0309,-1238134.4103
era5,5,25,15,24,0.985,0.0388,-4813765.4763
era5,5,25,15,48,0.9774,0.054,1977439.8902
era5,5,25,15,72,0.9742,0.0513,-3791547.9317
era5,5,25,15,96,0.9708,0.0598,10660878.535
era5,5,25,20,24,0.3132,0.2141,6705124.4371
era5,5,25,20,48,0.9795,0.0455,26697631.5458
era5,5,25,20,72,0.9735,0.0517,4156918.2925
era5,5,25,20,96,0.9544,0.0673,3813692.155
