NAME,RUN,MEMBER,PERC,GAP_SIZE,CORR,RMSE,STDR
era5,1,25,5,24,0.9959,21.5902,146.1037
era5,1,25,5,48,0.9944,25.1317,-3818.4851
era5,1,25,5,72,0.9946,24.6891,-1007.7978
era5,1,25,5,96,0.9951,23.566,397.2405
era5,1,25,10,24,0.99,33.7302,938.3861
era5,1,25,10,48,0.9905,32.8064,-423.9253
era5,1,25,10,72,0.9895,34.5225,1506.7682
era5,1,25,10,96,0.9883,36.4424,-45646.9798
era5,1,25,15,24,0.988,36.9275,-1641.8566
era5,1,25,15,48,0.9865,39.0723,13203.3133
era5,1,25,15,72,0.9856,40.4069,-5750.1375
era5,1,25,15,96,0.9878,37.2008,11485.234
era5,1,25,20,24,0.9808,46.922,-1206.8672
era5,1,25,20,48,0.9812,46.1623,1810.5825
era5,1,25,20,72,0.9795,48.1287,-15021.8334
era5,1,25,20,96,0.9813,46.1502,-1381.1958
era5,2,25,5,24,0.9956,22.4638,-267.4049
era5,2,25,5,48,0.9954,22.7503,-679.6298
era5,2,25,5,72,0.9946,24.8965,508.7769
era5,2,25,5,96,0.9932,27.8758,478.5785
era5,2,25,10,24,0.9901,33.4958,6585.5146
era5,2,25,10,48,0.9906,32.661,401.4168
era5,2,25,10,72,0.9928,28.5206,-1427.8027
era5,2,25,10,96,0.9914,31.1635,-846.6456
era5,2,25,15,24,0.9873,38.0549,-723.0737
era5,2,25,15,48,0.9887,35.8742,23745.7927
era5,2,25,15,72,0.9874,37.8687,-3580.9735
era5,2,25,15,96,0.9888,35.5681,-3103.1991
era5,2,25,20,24,0.9813,46.1852,13210.9933
era5,2,25,20,48,0.9806,46.9179,2532.1922
era5,2,25,20,72,0.9819,45.2283,-10355.6424
era5,2,25,20,96,0.9802,47.4072,-7124.9576
era5,3,25,5,24,0.996,21.2006,290.3719
era5,3,25,5,48,0.9941,25.8765,-623.0601
era5,3,25,5,72,0.9956,22.4479,-491.3459
era5,3,25,5,96,0.995,23.7766,1310.2191
era5,3,25,10,24,0.9908,32.2321,-3684.3932
era5,3,25,10,48,0.9907,32.4429,1011.5118
era5,3,25,10,72,0.99,33.7524,63553.1658
era5,3,25,10,96,0.9904,32.9732,2332.6331
era5,3,25,15,24,0.9852,41.103,2460.9662
era5,3,25,15,48,0.9855,40.4842,-1252.0596
era5,3,25,15,72,0.9858,40.0751,-1950.7053
era5,3,25,15,96,0.9852,40.9325,8093.4147
era5,3,25,20,24,0.9835,43.2275,-147023.442
era5,3,25,20,48,0.9824,44.6707,-3766.0007
era5,3,25,20,72,0.9821,45.1724,9104.9107
era5,3,25,20,96,0.9824,44.623,13532.3984
era5,4,25,5,24,0.9948,24.2632,2163.16
era5,4,25,5,48,0.9941,25.8991,-1254.8054
era5,4,25,5,72,0.995,23.8504,-539.949
era5,4,25,5,96,0.9958,21.7843,-453.9073
era5,4,25,10,24,0.9891,35.2919,770.0192
era5,4,25,10,48,0.9913,31.5021,1146.1489
era5,4,25,10,72,0.9904,32.9459,-1246.6657
era5,4,25,10,96,0.9903,33.0978,-4336.7176
era5,4,25,15,24,0.9879,37.0696,1288.4265
era5,4,25,15,48,0.9882,36.6474,-2304.5648
era5,4,25,15,72,0.9848,41.4678,5851.6959
era5,4,25,15,96,0.9877,37.431,1157.5253
era5,4,25,20,24,0.9828,44.1502,-1872.4819
era5,4,25,20,48,0.9813,46.0738,-897.5008
era5,4,25,20,72,0.9825,44.5498,64220.3839
era5,4,25,20,96,0.9797,47.9149,2709.0681
era5,5,25,5,24,0.9943,25.55,516.658
era5,5,25,5,48,0.9944,25.2179,580.9522
era5,5,25,5,72,0.995,23.8038,-1987.5525
era5,5,25,5,96,0.9948,24.2781,-1390.6292
era5,5,25,10,24,0.9923,29.5664,1065.4009
era5,5,25,10,48,0.9906,32.5955,-1172.5899
era5,5,25,10,72,0.9892,34.9873,-672.9977
era5,5,25,10,96,0.989,35.2311,1469.5702
era5,5,25,15,24,0.9883,36.4267,-872.1766
era5,5,25,15,48,0.9883,36.4855,1215.8337
era5,5,25,15,72,0.9856,40.4823,6829.9283
era5,5,25,15,96,0.9855,40.5132,1396.8671
era5,5,25,20,24,0.9836,43.1299,7772.3963
era5,5,25,20,48,0.9831,43.8391,1092.2645
era5,5,25,20,72,0.98,47.5685,1740.5708
era5,5,25,20,96,0.9809,46.5579,2138.0566
