NAME,RUN,MEMBER,PERC,GAP_SIZE,CORR,CORR_lin,CORR_akima,CORR_spline,CORR_quad,CORR_pchip,RMSE,RMSE_lin,RMSE_akima,RMSE_spline,RMSE_quad,RMSE_pchip,STDR
UV,1,5,5,24,0.9981,0.9975,0.9974,0.9962,0.9957,0.9975,0.4397,0.4973,0.5107,0.6192,0.6585,0.5034,1.0016
UV,1,5,5,48,0.9966,0.9968,0.9936,0.9923,0.9839,0.9968,0.5786,0.5704,0.8053,0.8778,1.3023,0.571,1.0
UV,1,5,5,72,0.9943,0.9974,0.9958,0.9929,0.9849,0.9975,0.7538,0.5071,0.6495,0.8439,1.2435,0.4977,0.9939
UV,1,5,5,96,0.9937,0.9965,0.9879,0.9802,0.9412,0.9961,0.7901,0.5953,1.1024,1.4359,2.4946,0.6251,0.9973
UV,1,5,5,120,0.993,0.9961,0.9909,0.9839,0.9644,0.9952,0.8352,0.6272,0.9554,1.2687,1.9358,0.6936,0.9967
UV,1,5,5,144,0.9895,0.9942,0.9835,0.9792,0.9365,0.9944,1.0195,0.767,1.3152,1.5078,2.6435,0.7534,0.9998
UV,1,5,10,24,0.9964,0.9953,0.9939,0.9911,0.9899,0.9952,0.6001,0.6894,0.7824,0.9481,1.0129,0.6925,1.0458
UV,1,5,10,48,0.9926,0.9948,0.9934,0.9843,0.9837,0.995,0.8594,0.7171,0.8099,1.2537,1.2735,0.7088,1.0157
UV,1,5,10,72,0.9865,0.9924,0.9883,0.9843,0.9495,0.992,1.156,0.871,1.0799,1.252,2.311,0.8955,0.9959
UV,1,5,10,96,0.9869,0.9942,0.9877,0.9648,0.8694,0.9936,1.1442,0.7588,1.1091,1.8923,3.8068,0.7956,0.9948
UV,1,5,10,120,0.9838,0.9915,0.9822,0.9699,0.8398,0.9911,1.2704,0.9201,1.3383,1.7392,4.2635,0.9422,1.0043
UV,1,5,10,144,0.9821,0.9918,0.9649,0.9275,0.8006,0.9919,1.3337,0.9063,1.8977,2.8897,5.2974,0.903,1.0085
UV,2,5,5,24,0.9977,0.998,0.9976,0.9966,0.9968,0.998,0.4799,0.4506,0.4897,0.5825,0.5611,0.448,1.0012
UV,2,5,5,48,0.9959,0.9967,0.9956,0.9931,0.9901,0.9964,0.6372,0.5728,0.6642,0.8374,1.012,0.6036,1.0008
UV,2,5,5,72,0.9949,0.996,0.9931,0.9893,0.9833,0.9959,0.7132,0.6291,0.832,1.036,1.2994,0.6433,1.0025
UV,2,5,5,96,0.9951,0.9955,0.9906,0.9808,0.9543,0.9953,0.6985,0.6767,0.977,1.4259,2.2558,0.6882,1.0012
UV,2,5,5,120,0.9937,0.9968,0.9835,0.9948,0.8131,0.9967,0.7947,0.5709,1.3019,0.7295,5.0139,0.5784,1.0194
UV,2,5,5,144,0.9927,0.9941,0.9718,0.962,0.8057,0.9942,0.8541,0.7851,1.7342,2.1181,5.2347,0.777,1.0022
UV,2,5,10,24,0.9962,0.9955,0.9952,0.9898,0.9914,0.9955,0.6131,0.6698,0.6959,1.0142,0.9345,0.6716,0.9993
UV,2,5,10,48,0.9935,0.9946,0.9902,0.9841,0.9678,0.9943,0.8051,0.7329,0.9887,1.2593,1.8095,0.7546,1.003
