NAME,RUN,MEMBER,PERC,GAP_SIZE,CORR,CORR_lin,CORR_akima,CORR_spline,CORR_quad,CORR_pchip,RMSE,RMSE_lin,RMSE_akima,RMSE_spline,RMSE_quad,RMSE_pchip,STDR
ms_pully,1,25,5,24,0.9899,0.9847,0.9773,0.9475,0.9434,0.9841,1.7881,2.2033,2.7048,4.2165,4.3978,2.2495,1.0004
ms_pully,1,25,5,48,0.987,0.9792,0.956,0.7117,0.7049,0.9778,2.0237,2.5649,3.7887,11.8883,12.0644,2.6466,1.0002
ms_pully,1,25,5,72,0.9889,0.9826,0.9197,0.7922,0.7307,0.9815,1.8778,2.3567,5.2833,9.5537,11.5945,2.4308,1.0004
ms_pully,1,25,5,96,0.9858,0.975,0.915,0.5095,0.5445,0.9748,2.1223,2.8079,5.3631,19.9078,18.3344,2.8178,0.9989
ms_pully,1,25,5,120,0.9874,0.9783,0.8993,0.6116,0.5273,0.9794,1.9969,2.6233,6.0053,16.4531,21.1504,2.5627,1.0
ms_pully,1,25,5,144,0.987,0.9575,0.9106,0.3763,0.3123,0.9469,2.0291,3.6701,5.4144,27.6731,29.813,4.1172,1.0018
ms_pully,1,25,10,24,0.9809,0.973,0.9626,0.9022,0.9018,0.9732,2.4559,2.924,3.4739,5.8982,5.9177,2.9188,1.0008
ms_pully,1,25,10,48,0.9758,0.9594,0.8424,0.5812,0.546,0.9549,2.759,3.5665,7.5692,16.1619,17.5047,3.7653,1.0002
ms_pully,1,25,10,72,0.9728,0.952,0.9066,0.6066,0.5667,0.949,2.9236,3.8816,5.5528,15.4051,16.6508,4.007,1.0001
ms_pully,1,25,10,96,0.9721,0.9582,0.7145,0.3884,0.3762,0.9594,2.9661,3.6273,11.3476,27.3914,28.7744,3.5807,1.0002
ms_pully,1,25,10,120,0.9733,0.9556,0.7275,0.5054,0.454,0.9509,2.905,3.7388,10.7463,20.7901,23.3144,3.9336,0.9988
ms_pully,1,25,10,144,0.9682,0.9367,0.5698,0.293,0.2675,0.9315,3.172,4.476,17.3182,35.2707,43.204,4.6669,0.9997
ms_pully,1,25,15,24,0.9654,0.9497,0.9303,0.8167,0.8173,0.9481,3.3054,3.9782,4.7356,8.4891,8.4824,4.0479,1.0015
ms_pully,1,25,15,48,0.9631,0.9486,0.8954,0.7283,0.6886,0.9454,3.4141,4.0131,5.9207,11.376,13.0522,4.1473,1.0005
ms_pully,1,25,15,72,0.9642,0.9394,0.8745,0.4697,0.4589,0.9346,3.3692,4.4006,6.6396,24.1357,24.9456,4.5829,1.0008
ms_pully,1,25,15,96,0.9594,0.9326,0.705,0.4757,0.4268,0.93,3.5706,4.6082,12.5694,23.7632,27.5794,4.7202,1.0002
ms_pully,1,25,15,120,0.9641,0.9327,0.734,0.2457,0.2726,0.9291,3.3671,4.6753,10.952,57.6081,52.4821,4.807,1.0024
ms_pully,1,25,15,144,0.9566,0.9299,0.5228,0.2619,0.2133,0.9275,3.7083,4.6868,17.3645,32.9088,40.5148,4.7659,1.0022
ms_pully,2,25,5,24,0.9888,0.9846,0.9807,0.948,0.9406,0.9848,1.8813,2.2107,2.4839,4.1595,4.494,2.1971,1.0005
ms_pully,2,25,5,48,0.9882,0.983,0.9544,0.6987,0.7184,0.9828,1.9361,2.3215,3.8924,12.383,11.7852,2.3332,1.0008
ms_pully,2,25,5,72,0.9878,0.9787,0.8446,0.536,0.5401,0.9777,1.9616,2.5881,7.4794,17.5888,17.9511,2.6498,1.0002
ms_pully,2,25,5,96,0.9879,0.9821,0.9221,0.6389,0.6221,0.9821,1.9551,2.3824,5.1051,14.5929,14.9741,2.3774,1.0015
ms_pully,2,25,5,120,0.988,0.9785,0.8115,0.2251,0.2265,0.9773,1.9505,2.6056,8.3621,37.2285,38.5022,2.6789,0.9992
ms_pully,2,25,5,144,0.9851,0.967,0.8158,0.2465,0.2801,0.9652,2.1715,3.237,8.5217,40.2897,38.1133,3.3257,0.9997
ms_pully,2,25,10,24,0.9759,0.9725,0.9578,0.8607,0.8597,0.971,2.765,2.9513,3.6871,7.1861,7.2152,3.0367,1.0008
ms_pully,2,25,10,48,0.9766,0.9675,0.9408,0.7853,0.7572,0.9666,2.7194,3.2044,4.4002,9.4943,10.4501,3.2499,1.0012
ms_pully,2,25,10,72,0.9739,0.9617,0.8294,0.5201,0.4991,0.9576,2.8701,3.4696,8.2316,21.3892,22.7535,3.664,1.0021
ms_pully,2,25,10,96,0.9751,0.9567,0.881,0.6481,0.5464,0.9515,2.8068,3.6805,6.4654,13.8354,18.5966,3.9007,1.0008
ms_pully,2,25,10,120,0.971,0.9526,0.8653,0.4318,0.4072,0.9499,3.0233,3.8587,6.8083,25.8225,27.4568,3.9708,1.0031
